통화명,매매기준율,현찰/사실 때,현찰/파실 때,송금/보내실 때,송금/받으실 때,미화환산율
미국 USD,"1,194.00","1,214.89","1,173.11","1,205.70","1,182.30",1.000
유럽연합 EUR,"1,401.40","1,429.28","1,373.52","1,415.41","1,387.39",1.174
일본 JPY (100엔),"1,137.09","1,156.98","1,117.20","1,148.23","1,125.95",0.952
중국 CNY,170.56,179.08,162.04,172.26,168.86,0.143
홍콩 HKD,154.06,157.09,151.03,155.60,152.52,0.129
대만 TWD,40.78,46.12,37.93,0.00,0.00,0.034
영국 GBP,"1,548.26","1,578.76","1,517.76","1,563.74","1,532.78",1.297
오만 OMR,"3,101.22","3,377.22","2,915.15",0.00,0.00,2.597
캐나다 CAD,893.71,911.31,876.11,902.64,884.78,0.749
스위스 CHF,"1,300.80","1,326.42","1,275.18","1,313.80","1,287.80",1.089
스웨덴 SEK,136.23,139.56,132.90,137.59,134.87,0.114
호주 AUD,856.46,873.33,839.59,865.02,847.90,0.717
뉴질랜드 NZD,794.25,809.89,778.61,802.19,786.31,0.665
체코 CZK,53.33,57.86,48.54,53.91,52.75,0.045
칠레 CLP,1.56,1.68,1.44,0.00,0.00,0.001
터키 TRY,171.58,0.00,0.00,173.46,169.70,0.144
몽골 MNT,0.42,0.00,0.00,0.00,0.00,0.000
이스라엘 ILS,350.55,385.60,322.51,0.00,0.00,0.294
덴마크 DKK,188.29,192.90,183.68,190.17,186.41,0.158
노르웨이 NOK,131.54,134.76,128.32,132.85,130.23,0.110
사우디아라비아 SAR,318.37,338.42,296.41,321.55,315.19,0.267
쿠웨이트 KWD,"3,903.24","4,156.95","3,590.99","3,942.27","3,864.21",3.269
바레인 BHD,"3,167.11","3,369.80","2,913.75","3,198.78","3,135.44",2.653
아랍에미리트 AED,325.06,342.93,302.64,328.31,321.81,0.272
요르단 JOD,"1,684.06","1,833.94","1,549.34",0.00,0.00,1.410
이집트 EGP,74.67,0.00,0.00,0.00,0.00,0.063
태국 THB,37.95,39.84,35.68,38.32,37.58,0.032
싱가포르 SGD,867.76,885.02,850.50,876.43,859.09,0.727
말레이시아 MYR,281.37,299.09,260.55,0.00,278.56,0.236
인도네시아 IDR 100,8.27,8.84,7.45,8.35,8.19,0.007
카타르 QAR,327.93,0.00,0.00,0.00,0.00,0.275
카자흐스탄 KZT,2.86,0.00,0.00,0.00,0.00,0.002
브루나이 BND,862.87,897.38,811.10,0.00,0.00,0.723
인도 INR,15.98,0.00,0.00,0.00,0.00,0.013
파키스탄 PKR,7.15,0.00,0.00,0.00,0.00,0.006
방글라데시 BDT,14.08,0.00,0.00,0.00,0.00,0.012
필리핀 PHP,24.33,26.76,22.34,24.57,24.09,0.020
멕시코 MXN,54.61,60.07,50.03,55.15,54.07,0.046
브라질 BRL,231.68,255.31,213.15,0.00,228.90,0.194
베트남 VND 100,5.15,5.75,4.55,5.20,5.10,0.004
남아프리카 공화국 ZAR,72.48,76.82,66.69,73.34,71.62,0.061
러시아 RUB,16.45,17.60,14.65,16.61,16.29,0.014
헝가리 HUF,4.03,4.40,3.71,4.07,3.99,0.003
폴란드 PLN,316.86,342.20,291.52,320.34,313.38,0.265
