통화명,매매기준율,현찰/사실 때,현찰/파실 때,송금/보내실 때,송금/받으실 때,미화환산율
미국 USD,"1,191.00","1,211.84","1,170.16","1,202.60","1,179.40",1.000
유럽연합 EUR,"1,413.24","1,441.36","1,385.12","1,427.37","1,399.11",1.187
일본 JPY (100엔),"1,139.11","1,159.04","1,119.18","1,150.27","1,127.95",0.956
중국 CNY,170.18,178.68,161.68,171.88,168.48,0.143
홍콩 HKD,153.67,156.69,150.65,155.20,152.14,0.129
대만 TWD,40.66,45.98,37.82,0.00,0.00,0.034
영국 GBP,"1,562.06","1,592.83","1,531.29","1,577.68","1,546.44",1.312
오만 OMR,"3,093.35","3,368.65","2,907.75",0.00,0.00,2.597
캐나다 CAD,886.72,904.18,869.26,895.58,877.86,0.745
스위스 CHF,"1,310.95","1,336.77","1,285.13","1,324.05","1,297.85",1.101
스웨덴 SEK,137.17,140.53,133.81,138.54,135.80,0.115
호주 AUD,858.23,875.13,841.33,866.81,849.65,0.721
뉴질랜드 NZD,796.84,812.53,781.15,804.80,788.88,0.669
체코 CZK,53.75,58.31,48.92,54.34,53.16,0.045
칠레 CLP,1.56,1.68,1.44,0.00,0.00,0.001
터키 TRY,170.73,0.00,0.00,172.60,168.86,0.143
몽골 MNT,0.42,0.00,0.00,0.00,0.00,0.000
이스라엘 ILS,349.78,384.75,321.80,0.00,0.00,0.294
덴마크 DKK,189.85,194.50,185.20,191.74,187.96,0.159
노르웨이 NOK,131.44,134.66,128.22,132.75,130.13,0.110
사우디아라비아 SAR,317.53,337.53,295.63,320.70,314.36,0.267
쿠웨이트 KWD,"3,899.55","4,153.02","3,587.59","3,938.54","3,860.56",3.274
바레인 BHD,"3,159.15","3,361.33","2,906.42","3,190.74","3,127.56",2.653
아랍에미리트 AED,324.24,342.07,301.87,327.48,321.00,0.272
요르단 JOD,"1,679.83","1,829.33","1,545.45",0.00,0.00,1.410
이집트 EGP,74.58,0.00,0.00,0.00,0.00,0.063
태국 THB,38.03,39.93,35.75,38.41,37.65,0.032
싱가포르 SGD,868.42,885.70,851.14,877.10,859.74,0.729
말레이시아 MYR,280.93,298.62,260.15,0.00,278.13,0.236
인도네시아 IDR 100,8.21,8.78,7.39,8.29,8.13,0.007
카타르 QAR,327.11,0.00,0.00,0.00,0.00,0.275
카자흐스탄 KZT,2.82,0.00,0.00,0.00,0.00,0.002
브루나이 BND,860.70,895.12,809.06,0.00,0.00,0.723
인도 INR,15.91,0.00,0.00,0.00,0.00,0.013
파키스탄 PKR,7.11,0.00,0.00,0.00,0.00,0.006
방글라데시 BDT,14.05,0.00,0.00,0.00,0.00,0.012
필리핀 PHP,24.23,26.65,22.25,24.47,23.99,0.020
멕시코 MXN,54.03,59.43,49.50,54.57,53.49,0.045
브라질 BRL,231.03,254.59,212.55,0.00,228.26,0.194
베트남 VND 100,5.14,5.74,4.54,5.19,5.09,0.004
남아프리카 공화국 ZAR,71.16,75.42,65.47,72.01,70.31,0.060
러시아 RUB,16.25,17.38,14.47,16.41,16.09,0.014
헝가리 HUF,4.09,4.47,3.77,4.13,4.05,0.003
폴란드 PLN,320.19,345.80,294.58,323.71,316.67,0.269
